date,day_of_week,month,year,day_of_month,days_from_christmas,christmas,earthquake
2013-01-01,2,1,2013,1,7,0,0
2013-01-08,2,1,2013,8,14,0,0
2013-01-15,2,1,2013,15,21,0,0
2013-01-22,2,1,2013,22,28,0,0
2013-01-29,2,1,2013,29,35,0,0
2013-02-05,2,2,2013,5,42,0,0
2013-02-12,2,2,2013,12,49,0,0
2013-02-19,2,2,2013,19,56,0,0
2013-02-26,2,2,2013,26,63,0,0
2013-03-05,2,3,2013,5,70,0,0
2013-03-12,2,3,2013,12,77,0,0
2013-03-19,2,3,2013,19,84,0,0
2013-03-26,2,3,2013,26,91,0,0
2013-04-02,2,4,2013,2,98,0,0
2013-04-09,2,4,2013,9,105,0,0
2013-04-16,2,4,2013,16,112,0,0
2013-04-23,2,4,2013,23,119,0,0
2013-04-30,2,4,2013,30,126,0,0
2013-05-07,2,5,2013,7,133,0,0
2013-05-14,2,5,2013,14,140,0,0
2013-05-21,2,5,2013,21,147,0,0
2013-05-28,2,5,2013,28,154,0,0
2013-06-04,2,6,2013,4,161,0,0
2013-06-11,2,6,2013,11,168,0,0
2013-06-18,2,6,2013,18,175,0,0
2013-06-25,2,6,2013,25,182,0,0
2013-07-02,2,7,2013,2,-176,0,0
2013-07-09,2,7,2013,9,-169,0,0
2013-07-16,2,7,2013,16,-162,0,0
2013-07-23,2,7,2013,23,-155,0,0
2013-07-30,2,7,2013,30,-148,0,0
2013-08-06,2,8,2013,6,-141,0,0
2013-08-13,2,8,2013,13,-134,0,0
2013-08-20,2,8,2013,20,-127,0,0
2013-08-27,2,8,2013,27,-120,0,0
2013-09-03,2,9,2013,3,-113,0,0
2013-09-10,2,9,2013,10,-106,0,0
2013-09-17,2,9,2013,17,-99,0,0
2013-09-24,2,9,2013,24,-92,0,0
2013-10-01,2,10,2013,1,-85,0,0
2013-10-08,2,10,2013,8,-78,0,0
2013-10-15,2,10,2013,15,-71,0,0
2013-10-22,2,10,2013,22,-64,0,0
2013-10-29,2,10,2013,29,-57,0,0
2013-11-05,2,11,2013,5,-50,0,0
2013-11-12,2,11,2013,12,-43,0,0
2013-11-19,2,11,2013,19,-36,0,0
2013-11-26,2,11,2013,26,-29,0,0
2013-12-03,2,12,2013,3,-22,0,0
2013-12-10,2,12,2013,10,-15,0,0
2013-12-17,2,12,2013,17,-8,0,0
2013-12-24,2,12,2013,24,-1,1,0
2013-12-31,2,12,2013,31,6,0,0
2014-01-07,2,1,2014,7,13,0,0
2014-01-14,2,1,2014,14,20,0,0
2014-01-21,2,1,2014,21,27,0,0
2014-01-28,2,1,2014,28,34,0,0
2014-02-04,2,2,2014,4,41,0,0
2014-02-11,2,2,2014,11,48,0,0
2014-02-18,2,2,2014,18,55,0,0
2014-02-25,2,2,2014,25,62,0,0
2014-03-04,2,3,2014,4,69,0,0
2014-03-11,2,3,2014,11,76,0,0
2014-03-18,2,3,2014,18,83,0,0
2014-03-25,2,3,2014,25,90,0,0
2014-04-01,2,4,2014,1,97,0,0
2014-04-08,2,4,2014,8,104,0,0
2014-04-15,2,4,2014,15,111,0,0
2014-04-22,2,4,2014,22,118,0,0
2014-04-29,2,4,2014,29,125,0,0
2014-05-06,2,5,2014,6,132,0,0
2014-05-13,2,5,2014,13,139,0,0
2014-05-20,2,5,2014,20,146,0,0
2014-05-27,2,5,2014,27,153,0,0
2014-06-03,2,6,2014,3,160,0,0
2014-06-10,2,6,2014,10,167,0,0
2014-06-17,2,6,2014,17,174,0,0
2014-06-24,2,6,2014,24,181,0,0
2014-07-01,2,7,2014,1,-177,0,0
2014-07-08,2,7,2014,8,-170,0,0
2014-07-15,2,7,2014,15,-163,0,0
2014-07-22,2,7,2014,22,-156,0,0
2014-07-29,2,7,2014,29,-149,0,0
2014-08-05,2,8,2014,5,-142,0,0
2014-08-12,2,8,2014,12,-135,0,0
2014-08-19,2,8,2014,19,-128,0,0
2014-08-26,2,8,2014,26,-121,0,0
2014-09-02,2,9,2014,2,-114,0,0
2014-09-09,2,9,2014,9,-107,0,0
2014-09-16,2,9,2014,16,-100,0,0
2014-09-23,2,9,2014,23,-93,0,0
2014-09-30,2,9,2014,30,-86,0,0
2014-10-07,2,10,2014,7,-79,0,0
2014-10-14,2,10,2014,14,-72,0,0
2014-10-21,2,10,2014,21,-65,0,0
2014-10-28,2,10,2014,28,-58,0,0
2014-11-04,2,11,2014,4,-51,0,0
2014-11-11,2,11,2014,11,-44,0,0
2014-11-18,2,11,2014,18,-37,0,0
2014-11-25,2,11,2014,25,-30,0,0
2014-12-02,2,12,2014,2,-23,0,0
2014-12-09,2,12,2014,9,-16,0,0
2014-12-16,2,12,2014,16,-9,0,0
2014-12-23,2,12,2014,23,-2,1,0
2014-12-30,2,12,2014,30,5,0,0
2015-01-06,2,1,2015,6,12,0,0
2015-01-13,2,1,2015,13,19,0,0
2015-01-20,2,1,2015,20,26,0,0
2015-01-27,2,1,2015,27,33,0,0
2015-02-03,2,2,2015,3,40,0,0
2015-02-10,2,2,2015,10,47,0,0
2015-02-17,2,2,2015,17,54,0,0
2015-02-24,2,2,2015,24,61,0,0
2015-03-03,2,3,2015,3,68,0,0
2015-03-10,2,3,2015,10,75,0,0
2015-03-17,2,3,2015,17,82,0,0
2015-03-24,2,3,2015,24,89,0,0
2015-03-31,2,3,2015,31,96,0,0
2015-04-07,2,4,2015,7,103,0,0
2015-04-14,2,4,2015,14,110,0,0
2015-04-21,2,4,2015,21,117,0,0
2015-04-28,2,4,2015,28,124,0,0
2015-05-05,2,5,2015,5,131,0,0
2015-05-12,2,5,2015,12,138,0,0
2015-05-19,2,5,2015,19,145,0,0
2015-05-26,2,5,2015,26,152,0,0
2015-06-02,2,6,2015,2,159,0,0
2015-06-09,2,6,2015,9,166,0,0
2015-06-16,2,6,2015,16,173,0,0
2015-06-23,2,6,2015,23,180,0,0
2015-06-30,2,6,2015,30,-178,0,0
2015-07-07,2,7,2015,7,-171,0,0
2015-07-14,2,7,2015,14,-164,0,0
2015-07-21,2,7,2015,21,-157,0,0
2015-07-28,2,7,2015,28,-150,0,0
2015-08-04,2,8,2015,4,-143,0,0
2015-08-11,2,8,2015,11,-136,0,0
2015-08-18,2,8,2015,18,-129,0,0
2015-08-25,2,8,2015,25,-122,0,0
2015-09-01,2,9,2015,1,-115,0,0
2015-09-08,2,9,2015,8,-108,0,0
2015-09-15,2,9,2015,15,-101,0,0
2015-09-22,2,9,2015,22,-94,0,0
2015-09-29,2,9,2015,29,-87,0,0
2015-10-06,2,10,2015,6,-80,0,0
2015-10-13,2,10,2015,13,-73,0,0
2015-10-20,2,10,2015,20,-66,0,0
2015-10-27,2,10,2015,27,-59,0,0
2015-11-03,2,11,2015,3,-52,0,0
2015-11-10,2,11,2015,10,-45,0,0
2015-11-17,2,11,2015,17,-38,0,0
2015-11-24,2,11,2015,24,-31,0,0
