store_nbr,item_nbr,family,class,perishable
1,99197,GROCERY I,1067,0
1,103520,GROCERY I,1028,0
1,108634,GROCERY I,1075,0
1,108797,GROCERY I,1004,0
1,108862,GROCERY I,1062,0
1,108952,CLEANING,3024,0
1,111223,GROCERY I,1034,0
1,111397,GROCERY I,1072,0
1,114778,GROCERY I,1016,0
1,114790,GROCERY I,1004,0
1,114799,PERSONAL CARE,4126,0
1,115611,GROCERY I,1014,0
1,115720,GROCERY I,1084,0
1,115847,LINGERIE,7034,0
1,115850,GROCERY I,1004,0
1,115894,GROCERY I,1016,0
1,116017,GROCERY I,1072,0
1,116018,GROCERY I,1072,0
1,116279,GROCERY I,1056,0
1,116311,CLEANING,3090,0
1,119023,CLEANING,3026,0
1,119024,CLEANING,3026,0
1,119141,GROCERY I,1042,0
1,119191,CLEANING,3044,0
1,119624,BEVERAGES,1122,0
1,122419,GROCERY I,1004,0
1,123601,GROCERY I,1072,0
1,123602,GROCERY I,1072,0
1,125430,GROCERY I,1016,0
1,129297,GROCERY I,1032,0
1,155600,GROCERY I,1034,0
1,155601,GROCERY I,1034,0
1,155607,GROCERY I,1034,0
1,155610,GROCERY I,1034,0
1,155621,GROCERY I,1062,0
1,155625,GROCERY I,1092,0
1,158788,CLEANING,3044,0
1,158789,CLEANING,3044,0
1,158875,GROCERY I,1026,0
1,158956,CLEANING,3038,0
1,161288,GROCERY I,1072,0
1,162066,GROCERY I,1048,0
1,164037,GROCERY I,1048,0
1,164647,CLEANING,3032,0
1,165551,BEVERAGES,1124,0
1,165704,GROCERY I,1016,0
1,165705,GROCERY I,1016,0
1,165727,GROCERY I,1032,0
1,165988,GROCERY I,1072,0
1,168930,CLEANING,3026,0
1,168989,GROCERY I,1028,0
1,169028,GROCERY I,1040,0
1,169101,CLEANING,3044,0
1,169104,CLEANING,3044,0
1,170791,GROCERY I,1080,0
1,171890,CLEANING,3004,0
1,174081,BEVERAGES,1136,0
1,177050,LINGERIE,7034,0
1,177395,GROCERY I,1032,0
1,179600,GROCERY I,1006,0
1,205381,GROCERY I,1034,0
1,205557,GROCERY I,1062,0
1,207857,GROCERY I,1010,0
1,208514,GROCERY I,1010,0
1,208530,FROZEN FOODS,2226,0
1,208659,GROCERY I,1078,0
1,208699,GROCERY I,1034,0
1,210520,GROCERY II,1236,0
1,210798,GROCERY I,1074,0
1,211203,GROCERY I,1072,0
1,211205,GROCERY I,1072,0
1,211206,GROCERY I,1072,0
1,212550,GROCERY I,1036,0
1,212552,GROCERY I,1044,0
1,213066,GROCERY I,1074,0
1,213652,GROCERY I,1048,0
1,213788,GROCERY I,1096,0
1,215303,GROCERY I,1026,0
1,215304,GROCERY I,1026,0
1,215327,GROCERY I,1040,0
1,215332,GROCERY I,1040,0
1,215468,LINGERIE,7034,0
1,219147,BEVERAGES,1122,0
1,219150,BEVERAGES,1122,0
1,219152,BEVERAGES,1122,0
1,220435,GROCERY I,1080,0
1,221506,CLEANING,3046,0
1,222879,GROCERY I,1058,0
1,222975,GROCERY I,1072,0
1,229368,GROCERY I,1086,0
1,246052,GROCERY I,1039,0
1,250782,HOME APPLIANCES,6155,0
1,252970,CLEANING,3008,0
1,252972,CLEANING,3008,0
1,253145,GROCERY I,1096,0
1,255161,GROCERY I,1034,0
1,255202,GROCERY I,1045,0
1,257848,BEVERAGES,1120,0
1,258376,CLEANING,3044,0
1,258537,CLEANING,3038,0
1,260893,GROCERY I,1072,0
1,261053,GROCERY I,1072,0
1,261700,GROCERY I,1048,0
1,262991,GROCERY I,1034,0
1,264752,CLEANING,3034,0
1,264753,CLEANING,3034,0
1,265086,BEVERAGES,1124,0
1,265237,GROCERY I,1060,0
1,265254,GROCERY I,1016,0
1,265257,GROCERY I,1016,0
1,265672,GROCERY I,1056,0
1,268440,CLEANING,3026,0
1,268443,CLEANING,3026,0
1,268623,CLEANING,3044,0
1,268662,GROCERY I,1028,0
1,268664,GROCERY I,1028,0
1,268676,GROCERY I,1062,0
1,269286,CLEANING,3014,0
1,269287,CLEANING,3014,0
1,273528,PERSONAL CARE,4114,0
1,276560,GROCERY I,1087,0
1,279137,GROCERY I,1086,0
1,305081,GROCERY I,1045,0
1,305341,GROCERY I,1092,0
1,307740,CLEANING,3015,0
1,308085,BEVERAGES,1124,0
1,311954,CLEANING,3006,0
1,312317,AUTOMOTIVE,6810,0
1,312324,GROCERY I,1044,0
1,312596,GROCERY I,1035,0
1,314881,CLEANING,3034,0
1,315176,BEVERAGES,1124,0
1,315320,GROCERY I,1066,0
1,346066,GROCERY I,1039,0
1,352513,CLEANING,3012,0
1,354922,GROCERY I,1034,0
1,354964,GROCERY I,1030,0
1,358515,GROCERY I,1024,0
1,358519,GROCERY I,1084,0
1,372924,GROCERY I,1002,0
1,463903,CLEANING,3034,0
1,464112,GROCERY I,1092,0
1,464302,GROCERY I,1026,0
1,862454,GROCERY I,1088,0
1,864508,GROCERY I,1048,0
1,864510,GROCERY I,1048,0
1,865147,PERSONAL CARE,4114,0
1,865155,GROCERY I,1058,0
1,875604,GROCERY I,1026,0
1,890213,GROCERY I,1026,0
1,890214,GROCERY I,1026,0
1,890374,GROCERY I,1002,0
1,903955,BEVERAGES,1122,0
1,906979,BEVERAGES,1120,0
1,906980,BEVERAGES,1120,0
1,907671,"LIQUOR,WINE,BEER",1318,0
1,908741,LAWN AND GARDEN,6918,0
1,915310,PERSONAL CARE,4126,0
1,915980,BEVERAGES,1122,0
1,956013,GROCERY I,1088,0
1,956014,GROCERY I,1088,0
1,959437,"LIQUOR,WINE,BEER",1318,0
1,968432,BEVERAGES,1122,0
1,1243817,BEVERAGES,1122,0
1,1246758,GROCERY I,1074,0
1,1248394,GROCERY I,1096,0
1,1248464,GROCERY I,1088,0
1,1259952,GROCERY I,1030,0
1,1260238,CLEANING,3034,0
1,1260241,GROCERY I,1058,0
1,1260242,GROCERY I,1058,0
1,1261025,BEVERAGES,1124,0
1,1261376,GROCERY I,1058,0
1,1280677,CLEANING,3046,0
1,1281253,GROCERY I,1056,0
1,1282207,CLEANING,3020,0
1,1284221,GROCERY I,1084,0
1,1289417,GROCERY I,1002,0
1,1302670,CLEANING,3060,0
1,1304488,GROCERY I,1026,0
1,1304490,GROCERY I,1026,0
1,1304491,GROCERY I,1026,0
1,1306155,PERSONAL CARE,4118,0
1,1306196,CLEANING,3020,0
1,1306199,CLEANING,3020,0
1,1309856,CLEANING,3020,0
1,1311104,"LIQUOR,WINE,BEER",1326,0
1,1312957,GROCERY I,1040,0
1,1314409,GROCERY I,1039,0
1,1316369,GROCERY I,1026,0
1,1317092,LAWN AND GARDEN,6918,0
1,1317094,GROCERY I,1026,0
1,1317095,GROCERY I,1026,0
1,1317096,GROCERY I,1026,0
1,1320180,CLEANING,3046,0
1,1320708,GROCERY I,1072,0
1,1322479,GROCERY I,1016,0
1,1323011,CLEANING,3008,0
1,1323422,GROCERY I,1003,0
1,1324174,GROCERY I,1010,0
1,1324182,BEVERAGES,1132,0
1,1324667,GROCERY I,1094,0
1,1324670,GROCERY I,1094,0
1,1324845,CLEANING,3020,0
1,1325330,CLEANING,3020,0
1,1328340,GROCERY I,1078,0
1,1328471,CLEANING,3016,0
1,1328495,BEVERAGES,1136,0
1,1331068,PERSONAL CARE,4138,0
1,1332103,PERSONAL CARE,4114,0
1,1334074,GROCERY I,1044,0
1,1336461,BEVERAGES,1124,0
1,1342003,GROCERY I,1014,0
1,1342007,GROCERY I,1014,0
1,1342008,GROCERY I,1014,0
1,1342009,GROCERY I,1014,0
1,1345070,GROCERY I,1030,0
1,1345072,GROCERY I,1030,0
1,1346410,CLEANING,3032,0
1,1346624,GROCERY I,1096,0
1,1346626,CLEANING,3008,0
1,1346627,CLEANING,3008,0
1,1346629,CLEANING,3008,0
1,1346631,CLEANING,3008,0
1,1346632,CLEANING,3008,0
1,1346636,CLEANING,3008,0
1,1346637,CLEANING,3008,0
1,1346638,CLEANING,3008,0
1,1346643,CLEANING,3040,0
1,1347810,GROCERY I,1040,0
1,1348487,CLEANING,3044,0
1,1348510,GROCERY I,1034,0
1,1348983,GROCERY I,1080,0
1,1349808,GROCERY I,1030,0
1,1350565,BEVERAGES,1136,0
1,1351227,GROCERY I,1040,0
1,1353969,CLEANING,3020,0
1,1354381,GROCERY I,1042,0
1,1354384,GROCERY I,1042,0
1,1354385,GROCERY I,1042,0
1,1354386,GROCERY I,1042,0
1,1354387,GROCERY I,1042,0
1,1354388,GROCERY I,1042,0
1,1354389,GROCERY I,1042,0
1,1354711,GROCERY I,1016,0
1,1354713,GROCERY I,1016,0
1,1354714,GROCERY I,1016,0
1,1354719,GROCERY I,1016,0
1,1356038,PERSONAL CARE,4138,0
1,1359503,BEVERAGES,1120,0
1,1360010,HOME AND KITCHEN II,6329,0
1,1360013,HOME AND KITCHEN II,6329,0
1,1363877,GROCERY I,1014,0
1,1366212,HOME AND KITCHEN I,6257,0
1,1366213,HOME AND KITCHEN I,6257,0
1,1367273,HOME AND KITCHEN I,6212,0
1,1367438,HOME AND KITCHEN II,6330,0
1,1368479,HOME AND KITCHEN I,6269,0
1,1368488,HOME AND KITCHEN I,6269,0
1,1369793,HOME AND KITCHEN I,6238,0
1,1369873,HOME AND KITCHEN II,6330,0
1,1369875,HOME AND KITCHEN II,6352,0
1,1369972,HOME AND KITCHEN II,6330,0
1,1370542,HOME AND KITCHEN I,6223,0
1,1370547,HOME AND KITCHEN I,6257,0
1,1370548,HOME AND KITCHEN I,6257,0
1,1370552,HOME AND KITCHEN I,6257,0
1,1370564,HOME AND KITCHEN I,6269,0
1,1370568,HOME AND KITCHEN I,6269,0
1,1370572,HOME AND KITCHEN I,6269,0
1,1370574,HOME AND KITCHEN I,6269,0
1,1370587,HOME AND KITCHEN I,6269,0
1,1370589,HOME AND KITCHEN I,6269,0
1,1371620,PERSONAL CARE,4126,0
1,1372309,HOME AND KITCHEN I,6212,0
1,1372511,HOME AND KITCHEN I,6206,0
1,1372563,HOME AND KITCHEN I,6260,0
1,1372566,HOME AND KITCHEN I,6232,0
1,1372862,HOME AND KITCHEN II,6322,0
1,1373081,HOME AND KITCHEN II,6328,0
1,1373394,HOME AND KITCHEN I,6232,0
1,1373409,HOME AND KITCHEN I,6262,0
1,1373944,HOME AND KITCHEN II,6328,0
1,1373976,CLEANING,3014,0
1,1379158,HOME AND KITCHEN I,6257,0
1,1386120,HOME AND KITCHEN I,6246,0
1,1386220,GROCERY I,1030,0
1,1386250,HOME AND KITCHEN II,6330,0
1,1386506,HOME AND KITCHEN I,6206,0
1,1386695,HOME AND KITCHEN I,6262,0
1,1386696,HOME AND KITCHEN I,6266,0
1,1386894,HOME AND KITCHEN II,6328,0
1,1387609,HOME AND KITCHEN II,6301,0
1,1388521,HOME AND KITCHEN I,6253,0
1,1388568,HOME AND KITCHEN I,6269,0
1,1390351,GROCERY I,1040,0
1,1390405,GROCERY I,1036,0
1,1392627,PERSONAL CARE,4126,0
1,1393033,BEVERAGES,1122,0
1,1394348,CLEANING,3008,0
1,1396282,PERSONAL CARE,4122,0
1,1397061,BEVERAGES,1122,0
1,1397062,BEVERAGES,1122,0
1,1397067,CLEANING,3032,0
1,1397779,GROCERY I,1030,0
1,1397797,GROCERY I,1016,0
1,1397802,GROCERY I,1016,0
1,1398688,"LIQUOR,WINE,BEER",1387,0
1,1399750,"LIQUOR,WINE,BEER",1318,0
1,1400328,CLEANING,3016,0
1,1400329,CLEANING,3016,0
1,1400330,CLEANING,3016,0
1,1400331,CLEANING,3016,0
1,1400332,CLEANING,3016,0
1,1400334,CLEANING,3016,0
1,1400826,HOME AND KITCHEN II,6352,0
1,1401722,PERSONAL CARE,4126,0
1,1401733,PERSONAL CARE,4138,0
1,1401735,PERSONAL CARE,4138,0
1,1402017,CLEANING,3034,0
1,1402545,CLEANING,3016,0
1,1410792,GROCERY I,1026,0
1,1410850,HOME AND KITCHEN II,6353,0
1,1411065,GROCERY I,1030,0
1,1412204,FROZEN FOODS,2246,0
1,1412393,"LIQUOR,WINE,BEER",1318,0
1,1412519,CLEANING,3030,0
1,1416362,CLEANING,3034,0
1,1417148,GROCERY I,1076,0
1,1417154,GROCERY I,1028,0
1,1418022,GROCERY I,1026,0
1,1418259,CLEANING,3006,0
1,1418842,GROCERY I,1004,0
1,1418845,GROCERY I,1004,0
1,1418847,GROCERY I,1004,0
1,1420007,HOME AND KITCHEN I,6266,0
1,1421428,BEVERAGES,1124,0
1,1421429,BEVERAGES,1136,0
1,1421438,GROCERY I,1016,0
1,1422036,GROCERY I,1086,0
1,1422284,GROCERY I,1086,0
1,1422815,"LIQUOR,WINE,BEER",1318,0
1,1422817,"LIQUOR,WINE,BEER",1318,0
1,1426023,GROCERY I,1072,0
1,1428328,BEVERAGES,1120,0
1,1428330,BEVERAGES,1120,0
1,1428331,BEVERAGES,1120,0
1,1430041,BEVERAGES,1120,0
1,1430082,HOME AND KITCHEN I,6258,0
1,1441468,GROCERY I,1062,0
1,1441513,GROCERY I,1008,0
1,1441515,GROCERY I,1008,0
1,1441516,GROCERY I,1008,0
1,1441517,GROCERY I,1008,0
1,1442157,CLEANING,3026,0
1,1444597,GROCERY I,1008,0
1,1444598,GROCERY I,1008,0
1,1444600,PERSONAL CARE,4104,0
1,1445281,GROCERY I,1040,0
1,1449645,GROCERY I,1074,0
1,1452378,MAGAZINES,5224,0
1,1455790,CLEANING,3040,0
1,1455886,BEVERAGES,1153,0
1,1456346,MAGAZINES,5224,0
1,1456881,HOME CARE,3106,0
1,1456886,HOME CARE,3110,0
1,1456909,HOME CARE,3108,0
1,1456910,HOME CARE,3108,0
1,1456912,HOME CARE,3110,0
1,1456917,HOME CARE,3110,0
1,1456921,HOME CARE,3110,0
1,1456922,HOME CARE,3110,0
1,1456952,HOME CARE,3102,0
1,1456993,HOME CARE,3106,0
1,1456994,HOME CARE,3106,0
1,1456995,HOME CARE,3106,0
1,1456996,HOME CARE,3106,0
1,1457002,HOME CARE,3106,0
1,1457003,HOME CARE,3106,0
1,1457005,HOME CARE,3106,0
1,1457012,HOME CARE,3108,0
1,1457031,HOME CARE,3110,0
1,1457168,HOME CARE,3104,0
1,1457175,HOME CARE,3106,0
1,1457177,HOME CARE,3106,0
1,1457178,HOME CARE,3106,0
1,1457181,HOME CARE,3106,0
1,1457182,HOME CARE,3106,0
1,1457183,HOME CARE,3106,0
1,1457184,HOME CARE,3106,0
1,1457192,HOME CARE,3108,0
1,1457199,HOME CARE,3108,0
1,1457201,HOME CARE,3108,0
1,1457202,HOME CARE,3108,0
1,1457217,HOME CARE,3110,0
1,1457228,HOME CARE,3110,0
1,1457229,HOME CARE,3110,0
1,1457230,HOME CARE,3110,0
1,1457239,HOME CARE,3110,0
1,1457240,HOME CARE,3110,0
1,1457245,HOME CARE,3110,0
1,1457247,HOME CARE,3110,0
1,1457251,HOME CARE,3110,0
1,1457311,HOME CARE,3104,0
1,1457337,HOME CARE,3106,0
1,1457338,HOME CARE,3106,0
1,1457341,HOME CARE,3106,0
1,1457359,HOME CARE,3106,0
1,1457409,HOME CARE,3108,0
1,1457411,HOME CARE,3108,0
1,1457417,HOME CARE,3110,0
1,1457518,GROCERY I,1008,0
1,1457834,GROCERY I,1074,0
1,1457948,HOME CARE,3106,0
1,1458088,HOME CARE,3110,0
1,1458461,GROCERY I,1030,0
1,1458834,BEVERAGES,1122,0
1,1458914,"LIQUOR,WINE,BEER",1338,0
1,1459058,GROCERY I,1022,0
1,1459225,"LIQUOR,WINE,BEER",1310,0
1,1459514,CLEANING,3034,0
1,1459697,GROCERY I,1040,0
1,1460018,CLEANING,3034,0
1,1460020,CLEANING,3034,0
1,1463437,GROCERY I,1072,0
1,1463441,BEVERAGES,1132,0
1,1463451,GROCERY I,1028,0
1,1463507,BEVERAGES,1118,0
1,1463509,BEVERAGES,1118,0
1,1463510,BEVERAGES,1118,0
1,1463555,BEVERAGES,1114,0
1,1463566,BEVERAGES,1190,0
1,1463569,BEVERAGES,1190,0
