Store,Product,Start Inventory,Sales,Missed Sales,End Inventory,In Transit W+1,In Transit W+2,Holding Cost,Shortage Cost,Cumulative Holding Cost,Cumulative Shortage Cost
0,126,6,0,0.0,6,0,0,1.2000000000000002,0.0,5.400000000000001,0.0
0,182,1,0,0.0,1,0,1,0.2,0.0,1.0,0.0
1,124,11,11,2.0,0,11,13,0.0,2.0,0.0,16.0
2,124,10,10,5.0,0,12,14,0.0,5.0,0.6000000000000001,17.0
2,126,5,0,0.0,5,0,0,1.0,0.0,4.6,0.0
3,126,5,0,0.0,5,0,0,1.0,0.0,4.4,0.0
4,124,15,15,1.0,0,10,11,0.0,1.0,3.2,2.0
4,126,4,0,0.0,4,0,0,0.8,0.0,3.4000000000000004,0.0
5,126,10,7,0.0,3,1,0,0.6000000000000001,0.0,4.2,1.0
6,124,10,10,0.0,0,9,12,0.0,0.0,0.8,15.0
7,126,6,0,0.0,6,0,0,1.2000000000000002,0.0,3.2,1.0
8,126,6,0,0.0,6,0,1,1.2000000000000002,0.0,6.4,0.0
9,49,1,0,0.0,1,0,0,0.2,0.0,0.6000000000000001,1.0
9,124,29,15,0.0,14,19,17,2.8000000000000003,0.0,4.4,16.0
9,126,7,0,0.0,7,2,0,1.4,0.0,2.6000000000000005,5.0
10,126,2,0,0.0,2,0,1,0.4,0.0,2.6,0.0
11,126,4,0,0.0,4,0,0,0.8,0.0,2.0,0.0
12,124,12,4,0.0,8,8,11,1.6,0.0,4.0,5.0
13,103,6,3,0.0,3,0,0,0.6000000000000001,0.0,4.2,0.0
14,124,20,12,0.0,8,20,23,1.6,0.0,1.6,37.0
14,126,2,2,1.0,0,2,2,0.0,1.0,2.6,1.0
15,126,4,0,0.0,4,0,0,0.8,0.0,3.4000000000000004,0.0
16,126,6,0,0.0,6,1,0,1.2000000000000002,0.0,3.4000000000000004,0.0
17,126,7,0,0.0,7,1,0,1.4,0.0,5.2,0.0
18,124,16,16,0.0,0,17,17,0.0,0.0,0.0,30.0
18,126,5,0,0.0,5,0,0,1.0,0.0,4.6000000000000005,0.0
19,17,26,24,0.0,2,12,21,0.4,0.0,6.400000000000001,0.0
19,103,14,0,0.0,14,0,0,2.8000000000000003,0.0,10.6,0.0
20,126,4,0,0.0,4,0,1,0.8,0.0,5.0,0.0
21,124,14,14,4.0,0,11,15,0.0,4.0,7.0,4.0
21,126,1,0,0.0,1,2,2,0.2,0.0,1.0,1.0
22,126,6,3,0.0,3,1,1,0.6000000000000001,0.0,4.0,0.0
