date,day_of_week,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,day_of_month,days_from_christmas,week_of_year,weeks_since_start,year_fraction,month_sin,month_cos,week_sin,week_cos,is_month_end,is_quarter_end,is_holiday_week,days_from_easter,days_from_thanksgiving,days_from_black_friday,days_from_newyear,days_from_valentines,days_from_mothers_day,days_from_fathers_day,days_from_halloween,days_from_back_to_school,weeks_to_competition_start,is_competition_period
2021-04-12,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,12,108,15,0,2021.2692307692307,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0,0,0,8,138,137,101,57,-27,-69,163,-125,209.14285714285714,0
2021-04-19,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,19,115,16,1,2021.2884615384614,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0,0,0,15,145,144,108,64,-20,-62,170,-118,208.14285714285714,0
2021-04-26,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,26,122,17,2,2021.3076923076924,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0,0,0,22,152,151,115,71,-13,-55,177,-111,207.14285714285714,0
2021-05-03,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,3,129,18,3,2021.326923076923,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,0,0,1,29,159,158,122,78,-6,-48,-181,-104,206.14285714285714,0
2021-05-10,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,10,136,19,4,2021.3461538461538,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0,0,1,36,166,165,129,85,1,-41,-174,-97,205.14285714285714,0
2021-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,17,143,20,5,2021.3653846153845,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0,0,0,43,173,172,136,92,8,-34,-167,-90,204.14285714285714,0
2021-05-24,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,24,150,21,6,2021.3846153846155,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0,0,0,50,180,179,143,99,15,-27,-160,-83,203.14285714285714,0
2021-05-31,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,31,157,22,7,2021.4038461538462,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,1,0,0,57,-178,-179,150,106,22,-20,-153,-76,202.14285714285714,0
2021-06-07,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,7,164,23,8,2021.423076923077,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0,0,0,64,-171,-172,157,113,29,-13,-146,-69,201.14285714285714,0
2021-06-14,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,14,171,24,9,2021.4423076923076,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0,0,1,71,-164,-165,164,120,36,-6,-139,-62,200.14285714285714,0
