date,day_of_week,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,day_of_month,days_from_christmas
2021-04-12,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,12,108
2021-04-19,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,19,115
2021-04-26,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,26,122
2021-05-03,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,3,129
2021-05-10,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,10,136
2021-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,17,143
2021-05-24,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,24,150
2021-05-31,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,31,157
2021-06-07,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,7,164
2021-06-14,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,14,171
2021-06-21,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,21,178
2021-06-28,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,28,-180
2021-07-05,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,5,-173
2021-07-12,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,12,-166
2021-07-19,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,19,-159
2021-07-26,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,26,-152
2021-08-02,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,2,-145
2021-08-09,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,9,-138
2021-08-16,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,16,-131
2021-08-23,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,23,-124
2021-08-30,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,30,-117
2021-09-06,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,6,-110
2021-09-13,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,13,-103
2021-09-20,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,20,-96
2021-09-27,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,27,-89
